#timestamp x y z q_x q_y q_z q_w
1776995229.259766102 -0.000059963 -0.000072362 -0.000002846 0.004215923 -0.001327556 -0.683501674 0.729935562
1776995259.921181202 0.129018947 -1.132791996 -0.020159544 0.000508208 -0.000439138 -0.648390996 0.761307208
1776995261.333212376 0.271089822 -2.157374620 -0.003106828 0.001959083 -0.000703200 -0.663651882 0.748038667
1776995262.543538570 0.379236639 -3.200929642 0.008301821 0.001761382 -0.001808620 -0.670336459 0.742053002
1776995263.753863335 0.466060698 -4.331345081 -0.003255249 0.002699592 -0.000823550 -0.682668391 0.730722863
1776995264.964175701 0.566486537 -5.511098385 0.004541389 0.005466715 0.001654904 -0.667440802 0.744640955
1776995265.972774982 0.674915910 -6.573832035 -0.011863112 0.003229487 0.002460384 -0.674269493 0.738474216
1776995266.981369019 0.738766909 -7.641114235 -0.000538050 0.004638841 0.000421891 -0.676279437 0.736630454
1776995267.989988804 0.841068268 -8.723066330 -0.007027367 0.003817885 0.002434034 -0.670885538 0.741547095
1776995268.998571396 0.955811203 -9.795894623 -0.004310295 0.003312344 -0.000087812 -0.663906261 0.747808463
1776995270.007170200 1.044532657 -10.859244347 -0.000249230 0.004766382 -0.002273559 -0.691649559 0.722213958
1776995270.814050674 1.010078549 -11.694830894 0.009624120 0.000957498 -0.005207826 -0.765261069 0.643698266
1776995271.419202805 0.827440858 -12.252521515 0.003155821 0.001149016 -0.005442432 -0.845621378 0.533754199
1776995271.822651386 0.643589139 -12.555771828 0.026190374 0.002283830 -0.009279165 -0.895772913 0.444409236
1776995272.226096153 0.397410423 -12.815360069 0.026664723 0.003388842 -0.010444081 -0.937447152 0.347954413
1776995272.629538774 0.103131808 -13.022552490 0.042832546 0.005719760 -0.011528005 -0.967702263 0.251767193
1776995273.234691143 -0.411736518 -13.237901688 0.018426955 0.007371520 -0.010115614 -0.993141031 0.116250707
1776995274.041568518 -1.132967949 -13.357255936 -0.005867332 0.005770150 -0.004749465 -0.999835990 0.016496685
1776995275.050173759 -2.170847178 -13.420457840 0.012067248 0.005038102 -0.009699908 -0.998811517 0.047498234
1776995276.058771610 -3.232240677 -13.499156952 0.036250316 0.008465862 -0.005433604 -0.997994712 0.062492879
1776995277.067385674 -4.338246822 -13.620236397 0.032585155 0.009417154 0.001572697 -0.998900740 0.045892880
1776995278.075978756 -5.510778427 -13.714282036 0.010536848 0.005391464 -0.001730409 -0.997646596 0.068331595
1776995279.084570885 -6.645767689 -13.866183281 -0.008095728 0.006272794 -0.005780982 -0.998651803 0.051203598
1776995280.093162060 -7.731542587 -13.928888321 -0.012798246 0.005372678 -0.005646350 -0.999236566 0.038282347
1776995281.101778269 -8.804493904 -14.031769753 -0.017681841 0.004814028 -0.004846666 -0.997947270 0.063675588
1776995282.110377789 -9.966507912 -14.174307823 -0.025423635 0.003212058 -0.017443648 -0.997627003 0.066526416
1776995283.118984699 -11.116575241 -14.304183960 -0.055397481 0.003052300 -0.015063597 -0.997490974 0.069105201
