#timestamp x y z q_x q_y q_z q_w
3017.457503408 0.000000000 0.000000000 0.000000000 0.000082138 0.005791489 0.999028623 0.043683664
3034.401975936 -1.014626026 0.095715448 -0.005185763 0.004858089 0.004466573 0.999484922 0.031406037
3035.612281104 -2.021385670 0.201249897 0.046520352 0.007734377 0.006655070 0.998771653 0.048487874
3036.822630544 -3.034360409 0.313035995 0.087255366 0.007192528 0.008916998 0.998905638 0.045346244
3037.629478816 -3.623737812 0.334934860 0.098295718 -0.015892649 0.001550065 -0.997422958 0.069946156
3038.234647840 -3.996345520 0.246968076 0.117522538 -0.022286348 0.005632772 -0.980707412 0.194125120
3038.839818848 -4.287382126 0.102165297 0.131206185 -0.026459405 0.009429765 -0.945703451 0.323814703
3039.444960704 -4.490827560 -0.092797406 0.135032311 -0.025357807 0.012393345 -0.884451424 0.465777914
3039.848396560 -4.572097778 -0.241960585 0.140123531 -0.023308210 0.014374727 -0.827597083 0.560654228
3040.453556304 -4.634048939 -0.493747652 0.136825904 -0.021754685 0.016350596 -0.746468654 0.664863851
3041.260444624 -4.616438866 -0.896416664 0.150193602 -0.019654264 0.018922842 -0.674758591 0.737534054
3042.269043072 -4.499645233 -1.409226775 0.159871742 -0.021253160 0.020689212 -0.581165110 0.813244966
3043.277733600 -4.345220566 -2.034332752 0.155703470 -0.018986060 0.018479565 -0.672472414 0.739647813
3045.294828736 -4.395432949 -3.048840284 0.285316199 -0.028745004 -0.004805047 -0.695652901 0.717786651
